iter	Passed	Remaining
0	149	148987
1	153	76450
2	154	51414
3	156	38966
4	158	31490
5	159	26425
6	161	22851
7	162	20092
8	162	17929
9	163	16202
10	164	14782
11	165	13588
12	166	12624
13	166	11756
14	168	11047
15	171	10568
16	172	9980
17	173	9460
18	174	8995
19	174	8571
20	175	8190
21	176	7854
22	177	7534
23	177	7238
24	178	6965
25	179	6711
26	179	6478
27	180	6260
28	181	6060
29	181	5871
30	183	5751
31	185	5596
32	185	5445
33	186	5297
34	187	5157
35	187	5025
36	188	4900
37	188	4781
38	189	4671
39	190	4569
40	191	4476
41	192	4391
42	193	4305
43	194	4217
44	195	4144
45	198	4123
46	200	4056
47	200	3980
48	201	3907
49	201	3837
50	202	3769
51	203	3703
52	203	3641
53	204	3580
54	204	3521
55	205	3466
56	206	3413
57	207	3362
58	207	3313
59	209	3275
60	211	3249
61	214	3241
62	215	3199
63	215	3158
64	216	3119
65	217	3081
66	218	3044
67	219	3008
68	220	2975
69	221	2941
70	222	2906
71	223	2885
72	224	2853
73	226	2838
74	228	2816
75	229	2785
76	229	2753
77	230	2722
78	230	2691
79	231	2662
80	232	2634
81	232	2606
82	233	2577
83	233	2551
84	234	2525
85	235	2506
86	236	2483
87	237	2459
88	237	2435
89	238	2411
90	239	2388
91	240	2377
92	243	2372
93	244	2352
94	244	2330
95	245	2309
96	245	2288
97	246	2269
98	247	2249
99	247	2230
100	248	2211
101	249	2193
102	249	2176
103	250	2162
104	251	2147
105	252	2131
106	253	2114
107	254	2097
108	258	2111
109	259	2096
110	259	2080
111	260	2065
112	261	2049
113	261	2033
114	262	2018
115	262	2003
116	263	1987
117	263	1972
118	265	1962
119	266	1956
120	268	1947
121	268	1934
122	274	1959
123	276	1953
124	277	1943
125	279	1940
126	281	1934
127	292	1992
128	296	2000
129	297	1993
130	298	1983
131	299	1971
132	305	1993
133	306	1982
134	307	1971
135	308	1959
136	309	1948
137	310	1937
138	311	1927
139	311	1915
140	312	1904
141	313	1892
142	313	1881
143	314	1870
144	315	1860
145	321	1879
146	322	1873
147	323	1863
148	324	1854
149	325	1844
150	326	1835
151	327	1826
152	328	1817
153	329	1808
154	330	1799
155	331	1790
156	332	1786
157	334	1779
158	335	1772
159	336	1767
160	337	1760
161	338	1752
162	339	1744
163	340	1737
164	346	1755
165	348	1750
166	349	1743
167	351	1739
168	352	1733
169	353	1726
170	354	1719
171	356	1715
172	357	1709
173	364	1731
174	367	1734
175	369	1727
176	370	1722
177	372	1718
178	373	1711
179	379	1728
180	380	1722
181	381	1715
182	382	1709
183	383	1702
184	384	1694
185	385	1686
186	386	1679
187	387	1671
188	387	1663
189	388	1656
190	389	1649
191	391	1648
192	393	1644
193	394	1638
194	395	1631
195	395	1623
196	396	1616
197	397	1608
198	397	1601
199	398	1595
200	399	1587
201	400	1580
202	400	1572
203	401	1565
204	401	1558
205	402	1550
206	403	1544
207	403	1537
208	406	1537
209	407	1532
210	408	1526
211	408	1519
212	409	1512
213	409	1505
214	410	1498
215	411	1491
216	411	1485
217	412	1478
218	412	1472
219	413	1465
220	414	1459
221	414	1453
222	415	1446
223	415	1440
224	416	1434
225	417	1428
226	417	1422
227	418	1416
228	420	1414
229	421	1412
230	422	1406
231	423	1401
232	423	1395
233	424	1389
234	425	1383
235	425	1377
236	426	1372
237	426	1366
238	427	1360
239	427	1354
240	428	1349
241	429	1343
242	429	1338
243	430	1332
244	431	1328
245	431	1323
246	437	1334
247	439	1331
248	439	1326
249	440	1321
250	441	1316
251	441	1311
252	442	1306
253	442	1300
254	443	1295
255	444	1290
256	444	1286
257	445	1281
258	446	1277
259	446	1272
260	447	1267
261	448	1262
262	449	1259
263	451	1259
264	452	1255
265	453	1251
266	454	1246
267	454	1242
268	455	1238
269	456	1233
270	456	1228
271	457	1224
272	458	1219
273	459	1216
274	459	1212
275	460	1208
276	461	1204
277	462	1200
278	465	1202
279	466	1200
280	467	1196
281	468	1193
282	469	1189
283	470	1185
284	471	1182
285	472	1180
286	473	1177
287	474	1174
288	475	1170
289	476	1167
290	482	1175
291	483	1172
292	484	1168
293	485	1165
294	485	1161
295	486	1157
296	487	1154
297	488	1151
298	489	1147
299	490	1143
300	491	1140
301	492	1137
302	496	1141
303	497	1138
304	498	1134
305	498	1131
306	499	1127
307	502	1130
308	504	1128
309	505	1125
310	506	1122
311	510	1125
312	512	1124
313	513	1121
314	514	1118
315	515	1115
316	515	1111
317	516	1107
318	517	1103
319	517	1099
320	518	1096
321	518	1092
322	519	1089
323	520	1085
324	520	1081
325	521	1078
326	522	1074
327	524	1074
328	526	1074
329	527	1070
330	528	1067
331	529	1065
332	530	1061
333	530	1058
334	531	1055
335	532	1051
336	532	1048
337	533	1044
338	534	1041
339	534	1037
340	535	1034
341	535	1030
342	536	1027
343	540	1031
344	541	1029
345	543	1026
346	544	1024
347	545	1021
348	546	1018
349	546	1015
350	547	1012
351	548	1009
352	548	1006
353	549	1003
354	550	999
355	551	996
356	552	994
357	554	994
358	556	993
359	557	990
360	558	987
361	558	984
362	559	981
363	560	978
364	560	975
365	561	972
366	562	969
367	562	966
368	563	963
369	564	960
370	564	957
371	565	954
372	565	951
373	566	948
374	569	948
375	571	948
376	572	945
377	572	942
378	574	940
379	574	937
380	575	935
381	576	932
382	577	929
383	577	926
384	578	923
385	578	920
386	579	917
387	580	915
388	580	912
389	584	914
390	585	912
391	586	910
392	587	907
393	588	905
394	589	902
395	589	899
396	590	896
397	590	893
398	591	890
399	591	887
400	592	885
401	593	882
402	594	880
403	594	877
404	595	874
405	596	873
406	599	873
407	600	871
408	601	868
409	601	866
410	602	863
411	603	860
412	603	858
413	604	855
414	605	853
415	605	850
416	606	847
417	607	845
418	607	842
419	608	839
420	608	837
421	609	835
422	613	836
423	613	833
424	614	831
425	615	829
426	616	826
427	616	824
428	617	821
429	617	819
430	618	816
431	619	814
432	619	811
433	620	808
434	620	806
435	621	803
436	621	801
437	622	798
438	623	796
439	624	794
440	626	793
441	627	791
442	627	789
443	628	786
444	628	784
445	629	781
446	629	779
447	630	776
448	631	774
449	631	772
450	632	769
451	632	767
452	633	764
453	633	762
454	634	759
455	635	757
456	635	755
457	636	752
458	636	750
459	637	748
460	642	751
461	644	750
462	645	748
463	645	746
464	646	743
465	647	742
466	648	740
467	649	738
468	650	736
469	651	734
470	651	732
471	652	730
472	653	728
473	657	729
474	657	727
475	658	724
476	659	722
477	659	720
478	660	718
479	660	715
480	661	713
481	661	711
482	662	709
483	663	707
484	663	704
485	664	702
486	664	700
487	665	698
488	666	696
489	666	694
490	667	691
491	667	689
492	673	692
493	674	690
494	674	688
495	675	686
496	675	684
497	676	681
498	677	679
499	677	677
500	678	675
501	678	673
502	679	671
503	679	669
504	681	667
505	681	665
506	682	663
507	683	661
508	684	659
509	687	660
510	688	658
511	688	656
512	689	654
513	690	652
514	690	650
515	691	648
516	691	646
517	692	644
518	693	642
519	693	640
520	694	638
521	695	636
522	695	634
523	696	632
524	696	630
525	697	628
526	697	626
527	698	624
528	700	624
529	701	622
530	702	620
531	703	618
532	703	616
533	704	614
534	704	612
535	705	610
536	706	608
537	706	606
538	707	605
539	708	603
540	708	601
541	709	599
542	709	597
543	710	595
544	710	593
545	711	591
546	712	589
547	712	587
548	713	586
549	715	585
550	716	583
551	717	582
552	718	580
553	718	578
554	719	576
555	719	574
556	720	572
557	720	571
558	721	569
559	722	567
560	722	565
561	723	563
562	723	561
563	724	560
564	725	558
565	725	556
566	726	554
567	726	552
568	727	551
569	728	549
570	731	549
571	732	547
572	732	546
573	733	544
574	734	542
575	734	540
576	735	539
577	736	537
578	736	535
579	737	533
580	737	532
581	738	530
582	738	528
583	739	526
584	740	525
585	740	523
586	741	521
587	741	519
588	742	518
589	742	516
590	744	515
591	746	514
592	747	512
593	747	511
594	748	509
595	749	507
596	750	506
597	751	505
598	752	503
599	752	501
600	753	500
601	753	498
602	754	496
603	755	495
604	755	493
605	756	491
606	756	489
607	757	488
608	758	486
609	760	485
610	761	484
611	761	482
612	762	481
613	763	479
614	763	478
615	764	476
616	764	474
617	765	473
618	766	471
619	766	469
620	767	468
621	767	466
622	768	465
623	769	463
624	769	461
625	770	460
626	770	458
627	771	456
628	771	455
629	772	453
630	774	452
631	775	451
632	776	450
633	776	448
634	777	446
635	778	445
636	779	443
637	780	442
638	781	441
639	782	439
640	783	438
641	784	437
642	784	435
643	785	434
644	786	432
645	786	431
646	787	429
647	788	428
648	790	427
649	791	425
650	791	424
651	792	422
652	793	421
653	793	419
654	794	418
655	794	416
656	795	415
657	795	413
658	796	412
659	797	410
660	797	409
661	798	407
662	798	406
663	799	404
664	800	403
665	800	401
666	801	400
667	802	398
668	804	397
669	805	396
670	805	395
671	806	393
672	807	392
673	807	390
674	808	389
675	808	387
676	809	386
677	810	384
678	810	383
679	811	381
680	811	380
681	812	378
682	812	377
683	813	375
684	814	374
685	814	372
686	815	371
687	815	369
688	816	368
689	818	367
690	820	366
691	821	365
692	821	364
693	822	362
694	822	361
695	823	359
696	823	358
697	824	356
698	825	355
699	825	353
700	826	352
701	826	351
702	827	349
703	828	348
704	828	346
705	829	345
706	829	343
707	830	342
708	830	341
709	832	339
710	835	339
711	836	338
712	837	337
713	838	335
714	838	334
715	839	332
716	840	331
717	840	330
718	841	328
719	841	327
720	842	326
721	843	324
722	843	323
723	844	321
724	844	320
725	845	319
726	845	317
727	848	317
728	850	316
729	851	314
730	851	313
731	852	312
732	853	310
733	853	309
734	854	307
735	854	306
736	855	305
737	856	303
738	856	302
739	857	301
740	857	299
741	858	298
742	858	297
743	859	295
744	860	294
745	861	293
746	863	292
747	864	291
748	865	290
749	865	288
750	866	287
751	867	285
752	867	284
753	868	283
754	868	281
755	869	280
756	870	279
757	870	277
758	871	276
759	871	275
760	872	273
761	872	272
762	873	271
763	874	270
764	874	268
765	875	267
766	876	266
767	878	265
768	879	264
769	879	262
770	880	261
771	881	260
772	881	258
773	882	257
774	882	256
775	883	254
776	883	253
777	884	252
778	885	251
779	885	249
780	886	248
781	886	247
782	887	245
783	888	244
784	888	243
785	889	242
786	890	240
787	890	239
788	893	238
789	894	237
790	894	236
791	895	235
792	896	233
793	896	232
794	897	231
795	897	230
796	898	228
797	898	227
798	899	226
799	900	225
800	900	223
801	901	222
802	901	221
803	902	219
804	902	218
805	903	217
806	904	216
807	906	215
808	910	214
809	911	213
810	912	212
811	912	211
812	913	210
813	914	208
814	914	207
815	915	206
816	915	205
817	916	203
818	916	202
819	917	201
820	918	200
821	918	198
822	919	197
823	920	196
824	920	195
825	922	194
826	924	193
827	925	192
828	926	191
829	926	189
830	927	188
831	928	187
832	928	186
833	929	185
834	930	183
835	930	182
836	931	181
837	932	180
838	932	179
839	933	177
840	934	176
841	935	175
842	938	174
843	939	173
844	940	172
845	941	171
846	942	170
847	942	169
848	943	167
849	944	166
850	944	165
851	945	164
852	946	163
853	946	161
854	947	160
855	948	159
856	948	158
857	949	157
858	949	155
859	950	154
860	952	153
861	954	152
862	954	151
863	955	150
864	956	149
865	956	148
866	957	146
867	957	145
868	958	144
869	958	143
870	960	142
871	961	141
872	962	139
873	963	138
874	964	137
875	965	136
876	968	135
877	968	134
878	969	133
879	970	132
880	971	131
881	972	130
882	973	128
883	973	127
884	974	126
885	975	125
886	976	124
887	977	123
888	979	122
889	981	121
890	982	120
891	983	119
892	984	117
893	985	116
894	986	115
895	986	114
896	987	113
897	988	112
898	989	111
899	990	110
900	991	108
901	992	107
902	994	106
903	996	105
904	998	104
905	998	103
906	999	102
907	1000	101
908	1001	100
909	1001	99
910	1002	97
911	1003	96
